Órgão;Elemento;Fonte de Recursos;Subfunção;Programa;Projeto / Atividade;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Valor Empenhado
08 - Vice-Governadoria do Estado;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 -  ;2.457,61;0;11.596,68;2.520,11;3.299,16;3.059,55;3.983,74;3.500,09;3.870,05;3.783,94;5.433,80;4.379,45;51.992,64
21 - Secretaria de Estado da Casa Civil e Governan;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 -  ;79.002,00;113.655,00;115.336,00;55.000,00;117.000,00;100.000,00;77.691,03;81.145,00;86.145,00;132.383,54;121.324,30;-125.660,98;953.020,89
21 - Secretaria de Estado da Casa Civil e Governan;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;57.948,00;71.721,80;109.174,94;226.598,60;217.094,60;204.495,60;-6.081,73;460.891,03;282.136,67;208.290,60;487.408,39;-274.978,63;2.044.699,87
26 - Secretaria de Estado de Segurança - Em Extinç;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;2.390,50;2.390,50;2.390,50;7.170,00;0;0;0;0;0;0;0;-1.023,00;13.318,50
26 - Secretaria de Estado de Segurança - Em Extinç;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;90.404,07;168.753,97;174.023,00;184.397,29;45.976,60;74.000,00;225.209,44;0;0;0;0;-44.205,80;918.558,57
08 - Vice-Governadoria do Estado;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;38.325,39;28.201,20;39.429,37;28.938,13;31.516,57;28.431,17;34.399,35;31.719,24;27.388,88;30.551,88;265.201,56;56.145,27;700.778,13
08 - Vice-Governadoria do Estado;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;31.400,81;29.336,27;28.575,87;28.249,22;40.821,09;33.558,52;44.897,40;41.604,21;40.161,87;40.133,10;76.045,14;40.749,87;519.960,55
08 - Vice-Governadoria do Estado;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;164.055,79;158.509,10;178.467,09;181.979,64;281.495,12;196.838,34;245.808,47;247.988,23;226.020,07;249.470,76;233.027,14;237.318,20;2.850.373,87
08 - Vice-Governadoria do Estado;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;5.760,00;6.552,00;7.692,50;9.095,50;18.936,00;11.253,69;10.940,31;11.094,00;11.800,33;9.115,69;12.060,00;5.580,33;129.216,35
16 - Secretaria de Estado de Defesa Civil e Corpo ;31900400 - Contratação Por Tempo Determinado;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;760.873,95;753.512,85;738.573,03;690.482,89;701.725,30;682.987,95;682.987,95;675.747,16;640.473,46;598.015,12;590.215,59;0;8.025.585,65
