Ano do Gasto;Elemento;Fonte de Recursos1;Programa1;Projeto / Atividade;Subfunção1;Table Names;Órgão1;Abr;Ago;Dez;Fev;Jan;Jul;Jun;Mai;Mar;Nov;Out;Set;Valor Empenhado
2020;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;0467 - Despesas Obrigatórias de caráter Primário;122 - Administração Geral;Gastos_rj_2020.csv;08 - Vice-Governadoria do Estado;3498;3455;4248;3851;4108;3509;3583;3308;3486;5721;3610;3303;45684
2020;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;0467 - Despesas Obrigatórias de caráter Primário;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;0;0;0;0;4562;0;0;0;0;0;0;0;4562
2020;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2010 -;122 - Administração Geral;Gastos_rj_2020.csv;06 - Gabinete de Segurança Institucional do Estado;0;50000;-236559;252235;40000;35000;0;78510;152569;176900;85000;29000;734555
2020;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2010 -;122 - Administração Geral;Gastos_rj_2020.csv;51 - Secretaria de Estado de Polícia Militar;1000000;0;-5791;10000000;1632954;0;481253;2500000;0;0;0;0;15608416
2020;33901400 - Diárias - Civil;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2016 -;122 - Administração Geral;Gastos_rj_2020.csv;06 - Gabinete de Segurança Institucional do Estado;0;0;0;0;253;0;0;0;0;0;0;581;834
2020;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2016 -;122 - Administração Geral;Gastos_rj_2020.csv;06 - Gabinete de Segurança Institucional do Estado;182290;182265;-257921;454789;182739;210290;177857;179201;265773;577293;295425;99157;2687373
2020;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2016 -;122 - Administração Geral;Gastos_rj_2020.csv;08 - Vice-Governadoria do Estado;665;700;-538;2900;700;700;700;735;1250;665;6100;700;15277
2020;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2016 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;0;0;-144203;5327240;2891170;0;-2156476;0;891497;0;0;0;6809230
2020;33901500 - Diárias - Militar;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2016 -;122 - Administração Geral;Gastos_rj_2020.csv;51 - Secretaria de Estado de Polícia Militar;0;0;0;-1628;1628;0;0;0;0;0;0;0;0
2020;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;06 - Gabinete de Segurança Institucional do Estado;206947;98431;1131788;179940;149604;99959;101521;106225;176715;132284;103858;110013;2871600
2020;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;06 - Gabinete de Segurança Institucional do Estado;60462;59006;104345;49444;50165;58053;56820;61577;54446;57641;59209;60899;801392
2020;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;06 - Gabinete de Segurança Institucional do Estado;1055443;1085908;1128557;1064043;1070972;1087271;1060489;1065852;1015181;1098446;1081011;1100214;14030463
2020;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;06 - Gabinete de Segurança Institucional do Estado;0;0;0;20637;3491;720;0;0;0;0;0;0;24848
2020;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;06 - Gabinete de Segurança Institucional do Estado;4681;4648;9334;4681;4681;4648;4648;4648;4681;4648;4648;4648;65386
2020;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;08 - Vice-Governadoria do Estado;44346;29939;302702;38025;60530;30718;37580;30145;41604;30490;32879;40514;719477
2020;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;08 - Vice-Governadoria do Estado;43185;38694;78180;42246;44427;39355;40013;39505;40641;39152;39621;40186;525210
2020;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;08 - Vice-Governadoria do Estado;228796;221535;234563;220651;249395;236587;221016;228696;228767;235810;235563;236758;2778144
2020;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;08 - Vice-Governadoria do Estado;0;0;6373;0;3925;0;0;0;723;0;0;0;11022
2020;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;08 - Vice-Governadoria do Estado;980;980;1983;110;980;1260;980;980;1849;980;980;980;13043
2020;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;08 - Vice-Governadoria do Estado;9144;10476;9936;11784;9336;10416;11880;10920;9516;10620;9840;10212;124080
2020;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;16 - Secretaria de Estado de Defesa Civil e Corpo;166469;-174256;772;166259;166259;0;0;-491623;166888;0;0;0;170869
2020;31900400 - Contratação Por Tempo Determinado;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;16 - Secretaria de Estado de Defesa Civil e Corpo;484944;0;400237;508615;509990;0;0;441229;499635;407732;0;0;3624033
2020;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;16 - Secretaria de Estado de Defesa Civil e Corpo;186523;0;494179;187269;186584;0;0;186278;186903;0;0;0;1719470
2020;31901200 - Vencimentos e Vantagens Fixas - Pessoal Milit;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;16 - Secretaria de Estado de Defesa Civil e Corpo;45764374;-327322;97293575;86436260;84361250;0;0;67953460;23755057;57798303;0;0;547425953
2020;31901700 - Outras Despesas Variáveis - Pessoal Militar;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;16 - Secretaria de Estado de Defesa Civil e Corpo;18127251;0;16573900;18342021;3886352;0;0;0;18208788;17982250;0;0;93120564
2020;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;16 - Secretaria de Estado de Defesa Civil e Corpo;-22277552;0;3351;1748535;25790607;0;0;1732237;1747587;3476393;0;0;13969983
2020;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;16 - Secretaria de Estado de Defesa Civil e Corpo;124708;0;0;118148;71212;0;7261;89507;146644;75905;0;0;711987
2020;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;16 - Secretaria de Estado de Defesa Civil e Corpo;962461;0;0;921349;952778;0;0;981401;966119;978169;0;0;6685656
2020;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;16 - Secretaria de Estado de Defesa Civil e Corpo;966;0;0;0;26216;0;0;0;16368;273;240000;0;320309
2020;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;21406;0;21406;21406;21406;0;0;21406;21406;21406;0;0;171248
2020;31900500 - Outros Benefícios Previdenciários do Servidor;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;3998;0;-6;3332;1775;0;0;2319;1492;5;0;0;12920
2020;31900700 - Contribuição a Entidades Fechadas de Previdên;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;2867;0;5649;2918;5403;0;0;3507;3085;3168;0;0;27725
2020;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;26482802;0;81627085;43301422;42831120;0;0;40500831;9530360;40560390;25300000;0;350963958
2020;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;100018;0;173197;98639;132538;0;0;101106;100093;138769;0;0;938597
2020;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;4224689;0;4159803;1730014;1903848;0;2498031;4253569;1738347;4035195;0;0;28661018
2020;31909100 - Sentenças Judiciais;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;0;0;2129;0;301;0;0;0;0;8858;0;0;11767
2020;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;11653;0;0;179911;643701;0;0;-8567;278447;637;0;0;1164394
2020;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;0002 - Gestão Administrativa;2660 -;122 - Administração Geral;Gastos_rj_2020.csv;25 - Secretaria de Estado de Administração Peniten;10587378;0;21081901;10659228;10679085;0;0;10688715;10644560;10548213;0;0;95434245
