Aaapai;Ano;Apf;Apreensao Drogas Sem Autor;Cmba;Cmp;Furto Bicicleta;Mcirc;Mes;Mes Ano;Munic;Mês (Nome);Posse Drogas;Regiao;Roubo Bicicleta;Trafico Drogas;Aisp;Ameaca;Apreensao Drogas;Cisp;Cvli;Encontro Cadaver;Encontro Ossada;Estelionato;Estupro;Extorsao;Fase;Furto Celular;Furto Coletivo;Furto Transeunte;Furto Veiculos;Hom Culposo;Hom Doloso;Hom Por Interv Policial;Latrocinio;Lesao Corp Culposa;Lesao Corp Dolosa;Lesao Corp Morte;Letalidade Violenta;Outros Furtos;Outros Roubos;Pessoas Desaparecidas;Pol Civis Mortos Serv;Pol Militares Mortos Serv;Recuperacao Veiculos;Registro Ocorrencias;Risp;Roubo Apos Saque;Roubo Banco;Roubo Carga;Roubo Celular;Roubo Comercio;Roubo Conducao Saque;Roubo Cx Eletronico;Roubo Em Coletivo;Roubo Residencia;Roubo Rua;Roubo Transeunte;Roubo Veiculo;Sequestro;Sequestro Relampago;Tentat Hom;Total Furtos;Total Roubos
16;2016;34;0;3;2;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;2;Capital;0;1;5;15;3;1;0;0;0;37;0;1;3;36;7;104;2;0;0;0;0;4;3;0;0;51;8;0;0;0;0;411;1;1;0;4;9;4;1;0;3;0;70;58;2;0;0;0;200;90
7;2016;23;0;1;3;2;3304557;1;2016m01;Rio de Janeiro;Janeiro;10;Capital;0;3;5;20;13;4;0;1;0;37;2;2;3;82;55;217;4;0;0;0;0;31;35;0;0;141;31;4;0;0;12;1054;1;5;0;2;25;4;0;0;17;0;163;121;20;0;0;10;501;225
27;2016;59;2;6;27;5;3304557;1;2016m01;Rio de Janeiro;Janeiro;80;Capital;0;5;5;32;87;5;0;0;0;77;2;0;3;79;18;193;7;0;0;0;0;22;47;0;0;184;29;6;0;0;3;1274;1;4;0;3;13;6;0;0;9;1;157;135;7;0;0;7;486;207
1;2016;5;4;0;22;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;1;Capital;0;1;4;26;6;6;0;0;0;28;7;0;3;18;12;48;7;3;0;5;0;40;37;0;5;68;11;3;0;0;11;595;1;0;0;7;10;5;0;0;17;0;125;98;16;0;0;11;153;164
1;2016;2;1;0;1;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;2;Capital;0;1;5;12;4;7;3;0;0;3;0;1;3;12;0;15;8;0;3;0;0;2;12;0;3;12;25;3;0;0;5;224;1;0;0;0;6;2;0;0;1;1;56;49;13;0;0;14;47;97
8;2016;12;2;4;10;4;3304557;1;2016m01;Rio de Janeiro;Janeiro;88;Capital;5;3;2;28;93;9;2;0;0;37;3;9;3;61;28;50;31;2;2;0;0;24;51;0;2;124;14;1;0;0;15;928;1;2;0;2;14;8;0;0;9;3;103;80;17;0;0;2;298;154
9;2016;10;0;0;2;6;3304557;1;2016m01;Rio de Janeiro;Janeiro;5;Capital;1;0;2;24;5;10;0;1;0;79;3;2;3;31;40;42;20;1;0;0;0;23;29;0;0;112;16;2;0;0;3;648;1;1;0;0;17;9;0;0;3;1;61;41;7;0;0;0;251;96
0;2016;2;0;0;3;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;0;Capital;0;2;23;10;2;11;3;0;0;6;2;0;3;6;2;3;3;0;3;0;0;0;17;0;3;18;2;2;0;0;0;122;1;0;0;0;0;0;0;0;1;0;2;1;1;0;0;0;32;5
43;2016;51;0;4;6;6;3304557;1;2016m01;Rio de Janeiro;Janeiro;17;Capital;1;12;19;38;29;12;0;0;0;62;4;1;3;150;30;313;5;0;0;1;0;9;57;0;1;465;55;7;0;0;2;1541;1;0;0;0;18;9;0;0;2;1;57;37;2;0;0;19;969;125
21;2016;29;1;1;5;3;3304557;1;2016m01;Rio de Janeiro;Janeiro;7;Capital;0;6;19;15;14;13;0;2;0;19;1;1;3;34;21;81;2;0;0;1;0;10;31;0;1;112;14;3;0;0;2;512;1;0;0;1;4;7;0;0;2;2;20;14;1;0;0;10;253;45
31;2016;32;2;4;16;6;3304557;1;2016m01;Rio de Janeiro;Janeiro;79;Capital;0;6;23;24;87;14;1;1;0;61;0;5;3;67;23;160;3;0;1;0;0;25;38;0;1;296;12;3;0;0;3;1113;1;0;0;2;10;2;0;0;3;0;67;54;1;0;0;0;555;84
1;2016;7;1;0;2;1;3304557;1;2016m01;Rio de Janeiro;Janeiro;9;Capital;0;1;23;32;11;15;1;0;0;34;0;0;3;23;17;23;2;0;1;0;0;32;27;0;1;67;5;0;0;0;5;384;1;0;0;0;4;3;0;0;4;1;26;18;8;0;0;0;133;43
25;2016;53;0;3;31;4;3304557;1;2016m01;Rio de Janeiro;Janeiro;5;Capital;1;8;31;59;12;16;0;0;0;120;3;5;3;59;80;44;28;2;0;0;0;79;73;0;0;228;25;6;0;0;11;1179;2;1;0;4;13;8;0;0;13;0;94;68;12;0;0;4;443;145
23;2016;35;4;6;8;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;6;Capital;2;9;4;20;19;17;1;0;0;29;4;1;3;47;15;39;15;0;1;0;0;46;41;0;1;138;43;8;0;0;28;805;1;2;0;9;16;8;0;0;16;0;123;91;40;0;0;7;254;227
2;2016;13;0;0;31;1;3304557;1;2016m01;Rio de Janeiro;Janeiro;9;Capital;0;0;4;35;9;18;0;0;0;37;1;1;3;24;21;39;9;0;0;0;0;21;23;0;0;82;13;1;0;0;4;555;1;1;1;2;20;4;0;0;5;0;89;64;19;0;0;0;176;129
14;2016;22;2;2;5;2;3304557;1;2016m01;Rio de Janeiro;Janeiro;19;Capital;0;1;6;37;22;19;1;2;1;49;1;3;3;38;19;34;8;0;1;0;0;19;48;0;1;113;22;4;0;0;8;685;1;0;0;2;9;4;0;0;2;0;72;61;18;0;0;11;214;118
7;2016;37;1;0;4;3;3304557;1;2016m01;Rio de Janeiro;Janeiro;5;Capital;0;2;6;29;8;20;0;0;0;49;3;2;3;20;7;36;13;0;0;0;0;15;46;0;0;58;8;1;0;0;20;591;1;1;0;6;15;14;0;0;2;0;105;88;27;0;0;14;137;161
9;2016;54;11;2;90;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;7;Capital;0;18;22;68;36;21;4;0;0;48;8;2;3;16;27;51;12;8;3;1;1;54;88;0;5;128;22;14;0;0;52;1184;1;3;0;26;24;17;0;0;76;0;208;108;34;0;0;4;234;310
5;2016;30;0;1;10;1;3304557;1;2016m01;Rio de Janeiro;Janeiro;7;Capital;0;9;16;28;16;22;2;0;0;41;5;1;3;10;11;25;21;0;1;0;1;24;41;0;2;67;11;8;0;0;30;738;1;1;0;15;27;6;0;0;23;0;172;122;48;0;0;5;135;253
1;2016;24;0;1;7;0;3304557;1;2016m01;Rio de Janeiro;Janeiro;22;Capital;0;0;3;24;22;23;1;0;0;60;2;2;3;23;12;40;6;0;1;0;0;8;24;0;1;95;16;2;0;0;9;668;1;1;0;1;27;11;0;0;6;3;133;100;25;0;0;1;176;190
