Órgão;Elemento;Fonte de Recursos;Subfunção;Programa;Projeto / Atividade;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Valor Empenhado
21 - Secretaria de Estado de Planejamento e Gestão;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 -  ;3.698,55;3.568,04;3.623,85;3.529,31;3.407,00;4.744,91;3.694,96;3.539,22;3.621,43;3.554,71;3.739,74;8.377,63;49.750,20
06 - Gabinete de Segurança Institucional do Estado;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 -  ;71.900,00;268.598,61;154.700,00;0;86.700,00;50.000,00;96.700,00;136.700,00;30.195,53;348.890,39;102.833,40;-26,91;1.377.191,02
06 - Gabinete de Segurança Institucional do Estado;33901500 - Diárias - Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;621;0;0;0;0;0;352;722;4.928,00;5.500,00;0;0;12.123,00
06 - Gabinete de Segurança Institucional do Estado;33903300 - Passagens e Despesas com Locomoção;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;30.000,00;138.212,20;182.640,00;194.540,00;147.640,00;226.149,00;147.640,00;203.253,00;230.242,04;490.726,12;80.000,00;43.384,44;2.355.393,67
06 - Gabinete de Segurança Institucional do Estado;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;138.212,20;0;0;0;1.700,00;22.777,50;-2.000,00;22.183,14;7.000,00;21.361,00;6.247,71;10.879,73;228.361,28
25 - Secretaria de Estado de Administração Peniten;33903300 - Passagens e Despesas com Locomoção;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;301.875,00;0;0;0;0;0;0;0;0;0;0;0;301.875,00
30 - Secretaria de Estado de Trabalho e Renda     ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;4.000,00;0;0;40.578,10;0;-251,75;0;0;6.000,00;26.938,20;7.993,60;13.927,95;109.186,10
30 - Secretaria de Estado de Trabalho e Renda     ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;3.000,00;32.441,72;19.853,51;21.566,71;31.974,11;20.361,24;20.829,26;45.729,91;41.670,20;26.901,01;47.733,81;17.664,89;329.726,37
51 - Secretaria de Estado de Polícia Militar      ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;760.000,00;1.854.278,40;3.889.199,75;0;2.882.987,68;7.526.405,49;1.841.981,47;-148.370,27;2.020.688,16;1.205.836,22;934.565,87;809.162,15;24.980.320,97
06 - Gabinete de Segurança Institucional do Estado;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;274.310,53;139.005,72;118.016,80;122.540,09;144.319,69;594.232,30;130.795,63;127.139,39;147.041,17;171.549,78;139.936,52;819.329,09;3.118.275,42
06 - Gabinete de Segurança Institucional do Estado;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;69.320,70;62.016,84;64.148,93;66.734,13;66.321,92;86.715,76;66.409,86;71.089,59;76.415,66;81.111,39;76.811,67;125.464,40;996.055,79
06 - Gabinete de Segurança Institucional do Estado;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.117.070,36;1.113.186,69;1.100.901,84;1.139.391,68;1.166.650,40;1.176.865,63;1.171.638,21;1.157.678,62;1.218.561,40;1.221.509,74;1.138.738,02;1.165.969,99;15.069.025,81
06 - Gabinete de Segurança Institucional do Estado;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;4.787,00;5.689,64;5.213,64;5.381,64;5.381,64;5.381,64;5.157,64;5.157,64;5.157,64;5.241,64;5.241,64;10.357,48;73.559,34
16 - Secretaria de Estado de Defesa Civil e Corpo ;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;170.096,94;170.096,91;171.189,63;171.094,15;168.841,15;168.841,15;0;168.841,15;0;0;0;0;1.420.154,18
16 - Secretaria de Estado de Defesa Civil e Corpo ;31900400 - Contratação Por Tempo Determinado;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;371.648,26;586.504,66;761.482,97;779.346,38;752.190,18;748.200,94;0;756.783,85;0;751.948,41;0;744.453,47;7.085.690,08
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;291.731,65;301.616,24;110.126,20;296.627,55;295.107,75;524.879,34;0;299.727,54;122.007,69;320.302,41;0;1.463.517,26;4.162.188,44
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901200 - Vencimentos e Vantagens Fixas - Pessoal Milit;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;84.390.992,85;83.785.698,09;0;81.670.329,34;81.429.351,61;128.169.055,10;0;78.893.251,80;20.322,90;77.523.102,95;0;104.525.365,72;828.941.302,01
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.551,20;1.300,60;3.841,60;2.821,70;3.649,45;4.776,26;0;3.683,24;3.621,26;40,99;5.920,73;1.526,43;38.862,31
