Órgão;Elemento;Fonte de Recursos;Subfunção;Programa;Projeto / Atividade;Jan;Fev;Mar;Abr;Valor Empenhado
21 - Secretaria de Estado de Planejamento e Gestão;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 - Despesas Obrigatórias de caráter Primário;650,85;5.809,56;1.295,89;0;7.756,30
30 - Secretaria de Estado de Trabalho e Renda     ;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 - Despesas Obrigatórias de caráter Primário;3.400,00;3.204,24;6.756,96;0;13.361,20
06 - Gabinete de Segurança Institucional do Estado;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 - Prest Serv entre Órg Est/ Aquis Comb e Lubrif;30.000,00;366.512,00;100.000,00;-42.855,80;453.656,20
51 - Secretaria de Estado de Polícia Militar      ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 - Prest Serv entre Órg Est/ Aquis Comb e Lubrif;1.666.660,00;0;0;0;1.666.660,00
52 - Secretaria de Estado de Policia Civil        ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 - Prest Serv entre Órg Est/ Aquis Comb e Lubrif;1.294.575,00;1.442.593,82;1.446.296,91;1.346.296,91;5.529.762,64
06 - Gabinete de Segurança Institucional do Estado;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;8.800,00;10.190,00;-1.208,84;0;17.781,16
06 - Gabinete de Segurança Institucional do Estado;33903300 - Passagens e Despesas com Locomoção;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;240.966,87;459.966,87;124.764,04;0;825.697,78
06 - Gabinete de Segurança Institucional do Estado;33904000 - Serviços de Tecnologia da Informação e Comuni;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;627,5;0;12.475,20;0;13.102,70
21 - Secretaria de Estado de Planejamento e Gestão;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;1.400,00;0;1.400,00;0;2.800,00
21 - Secretaria de Estado de Planejamento e Gestão;33914000 - Serviços de Tecnologia da Informação e Comuni;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;496;0;496;0;992
21 - Secretaria de Estado de Planejamento e Gestão;33919200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;496;0;0;0;496
25 - Secretaria de Estado de Administração Peniten;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;9.841,00;590.338,99;9.841,00;2.360,46;612.381,45
25 - Secretaria de Estado de Administração Peniten;44905200 - Equipamentos e Material Permanente;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;30.732,55;0;0;0;30.732,55
30 - Secretaria de Estado de Trabalho e Renda     ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;10.000,00;0;8.000,00;0;18.000,00
51 - Secretaria de Estado de Polícia Militar      ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;1.477.859,00;156.060,00;104.886,00;41.976,00;1.780.781,00
51 - Secretaria de Estado de Polícia Militar      ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;1.403.586,05;1.683.457,18;2.950.361,83;1.424.501,22;7.461.906,28
51 - Secretaria de Estado de Polícia Militar      ;33904000 - Serviços de Tecnologia da Informação e Comuni;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;45.000,00;0;90.000,00;0;135.000,00
52 - Secretaria de Estado de Policia Civil        ;33903300 - Passagens e Despesas com Locomoção;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;37.522,10;80.885,42;37.552,10;0;155.959,62
52 - Secretaria de Estado de Policia Civil        ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;805.061,29;1.192.515,20;1.289.090,94;107.700,00;3.394.367,43
